global step=52, episodic return=13.0
global step=76, episodic return=19.0
global step=84, episodic return=21.0
global step=96, episodic return=24.0
global step=124, episodic return=18.0
global step=144, episodic return=17.0
global step=152, episodic return=17.0
global step=168, episodic return=18.0
global step=224, episodic return=14.0
global step=228, episodic return=26.0
global step=232, episodic return=22.0
global step=300, episodic return=37.0
global step=320, episodic return=24.0
global step=332, episodic return=25.0
global step=352, episodic return=13.0
global step=356, episodic return=32.0
global step=380, episodic return=15.0
global step=380, episodic return=12.0
global step=424, episodic return=18.0
global step=436, episodic return=14.0
global step=440, episodic return=15.0
global step=496, episodic return=14.0
global step=516, episodic return=23.0
global step=532, episodic return=44.0
global step=532, episodic return=24.0
global step=572, episodic return=19.0
global step=572, episodic return=14.0
global step=604, episodic return=18.0
global step=632, episodic return=25.0
global step=652, episodic return=20.0
global step=656, episodic return=13.0
global step=660, episodic return=22.0
global step=716, episodic return=14.0
global step=716, episodic return=21.0
global step=728, episodic return=19.0
global step=792, episodic return=34.0
global step=796, episodic return=20.0
global step=796, episodic return=20.0
global step=848, episodic return=13.0
global step=852, episodic return=15.0
global step=876, episodic return=20.0
global step=880, episodic return=38.0
global step=952, episodic return=19.0
global step=968, episodic return=29.0
global step=1012, episodic return=33.0
global step=1032, episodic return=20.0
global step=1056, episodic return=52.0
global step=1064, episodic return=13.0
global step=1128, episodic return=24.0
global step=1128, episodic return=40.0
global step=1132, episodic return=17.0
global step=1136, episodic return=20.0
global step=1188, episodic return=15.0
global step=1204, episodic return=19.0
global step=1208, episodic return=18.0
global step=1212, episodic return=20.0
global step=1264, episodic return=15.0
global step=1264, episodic return=19.0
global step=1312, episodic return=12.0
global step=1320, episodic return=14.0
global step=1320, episodic return=27.0
global step=1360, episodic return=12.0
global step=1388, episodic return=45.0
global step=1400, episodic return=20.0
global step=1440, episodic return=30.0
global step=1456, episodic return=17.0
global step=1464, episodic return=16.0
global step=1492, episodic return=13.0
global step=1496, episodic return=34.0
global step=1520, episodic return=14.0
global step=1560, episodic return=26.0
global step=1560, episodic return=10.0
global step=1572, episodic return=19.0
global step=1588, episodic return=24.0
global step=1648, episodic return=22.0
global step=1680, episodic return=23.0
global step=1700, episodic return=32.0
global step=1700, episodic return=35.0
global step=1720, episodic return=10.0
global step=1744, episodic return=24.0
global step=1764, episodic return=11.0
global step=1800, episodic return=25.0
global step=1804, episodic return=26.0
global step=1828, episodic return=21.0
global step=1848, episodic return=21.0
global step=1880, episodic return=20.0
global step=1904, episodic return=25.0
global step=1932, episodic return=26.0
global step=1948, episodic return=17.0
global step=1976, episodic return=32.0
global step=1976, episodic return=18.0
global step=2016, episodic return=17.0
global step=2056, episodic return=20.0
global step=2056, episodic return=20.0
global step=2096, episodic return=10.0
global step=2124, episodic return=48.0
global step=2132, episodic return=19.0
global step=2176, episodic return=13.0
global step=2176, episodic return=20.0
global step=2176, episodic return=11.0
global step=2236, episodic return=15.0
global step=2300, episodic return=31.0
global step=2320, episodic return=36.0
global step=2364, episodic return=16.0
global step=2400, episodic return=20.0
global step=2424, episodic return=102.0
global step=2440, episodic return=51.0
global step=2544, episodic return=30.0
global step=2560, episodic return=49.0
global step=2592, episodic return=48.0
global step=2624, episodic return=20.0
global step=2656, episodic return=16.0
global step=2740, episodic return=29.0
global step=2744, episodic return=46.0
global step=2784, episodic return=32.0
global step=2792, episodic return=13.0
global step=2812, episodic return=93.0
global step=2844, episodic return=15.0
global step=2844, episodic return=13.0
global step=2860, episodic return=12.0
global step=2868, episodic return=31.0
global step=2936, episodic return=17.0
global step=2936, episodic return=19.0
global step=2944, episodic return=25.0
global step=2980, episodic return=9.0
global step=2980, episodic return=34.0
global step=3012, episodic return=19.0
global step=3076, episodic return=24.0
global step=3088, episodic return=27.0
global step=3116, episodic return=45.0
global step=3224, episodic return=27.0
global step=3232, episodic return=55.0
global step=3240, episodic return=41.0
global step=3268, episodic return=45.0
global step=3288, episodic return=14.0
global step=3324, episodic return=25.0
global step=3404, episodic return=41.0
global step=3412, episodic return=22.0
global step=3428, episodic return=40.0
global step=3448, episodic return=40.0
global step=3488, episodic return=15.0
global step=3492, episodic return=20.0
global step=3492, episodic return=22.0
global step=3520, episodic return=18.0
global step=3544, episodic return=13.0
global step=3568, episodic return=19.0
global step=3636, episodic return=37.0
global step=3652, episodic return=27.0
global step=3704, episodic return=34.0
global step=3748, episodic return=57.0
global step=3756, episodic return=13.0
global step=3760, episodic return=27.0
global step=3812, episodic return=44.0
global step=3844, episodic return=24.0
global step=3892, episodic return=20.0
global step=3976, episodic return=54.0
global step=3980, episodic return=34.0
global step=3984, episodic return=23.0
global step=4028, episodic return=11.0
global step=4036, episodic return=15.0
global step=4036, episodic return=70.0
global step=4104, episodic return=31.0
global step=4128, episodic return=25.0
global step=4168, episodic return=33.0
global step=4176, episodic return=18.0
global step=4244, episodic return=19.0
global step=4352, episodic return=44.0
global step=4428, episodic return=19.0
global step=4440, episodic return=78.0
global step=4532, episodic return=124.0
global step=4544, episodic return=75.0
global step=4612, episodic return=46.0
global step=4680, episodic return=60.0
global step=4692, episodic return=40.0
global step=4748, episodic return=14.0
global step=4764, episodic return=21.0
global step=4816, episodic return=68.0
global step=4864, episodic return=63.0
global step=4952, episodic return=34.0
global step=4988, episodic return=60.0
global step=5040, episodic return=44.0
global step=5088, episodic return=25.0
global step=5108, episodic return=39.0
global step=5216, episodic return=113.0
global step=5220, episodic return=45.0
global step=5228, episodic return=30.0
global step=5244, episodic return=39.0
global step=5316, episodic return=25.0
global step=5408, episodic return=41.0
global step=5448, episodic return=57.0
global step=5508, episodic return=70.0
global step=5508, episodic return=25.0
global step=5532, episodic return=54.0
global step=5640, episodic return=33.0
global step=5700, episodic return=48.0
global step=5772, episodic return=81.0
global step=5784, episodic return=21.0
global step=5804, episodic return=68.0
global step=5824, episodic return=46.0
global step=5864, episodic return=23.0
global step=5960, episodic return=39.0
global step=5968, episodic return=36.0
global step=5984, episodic return=50.0
global step=6052, episodic return=21.0
global step=6068, episodic return=21.0
global step=6100, episodic return=12.0
global step=6108, episodic return=10.0
global step=6116, episodic return=63.0
global step=6216, episodic return=29.0
global step=6236, episodic return=69.0
global step=6292, episodic return=14.0
global step=6340, episodic return=58.0
global step=6352, episodic return=34.0
global step=6496, episodic return=95.0
global step=6500, episodic return=52.0
global step=6604, episodic return=63.0
global step=6640, episodic return=36.0
global step=6640, episodic return=75.0
global step=6660, episodic return=40.0
global step=6780, episodic return=30.0
global step=6848, episodic return=52.0
global step=6872, episodic return=67.0
global step=6892, episodic return=63.0
global step=6996, episodic return=37.0
global step=7044, episodic return=43.0
global step=7064, episodic return=43.0
global step=7196, episodic return=33.0
global step=7236, episodic return=114.0
global step=7324, episodic return=82.0
global step=7384, episodic return=85.0
global step=7448, episodic return=31.0
global step=7468, episodic return=21.0
global step=7492, episodic return=74.0
global step=7576, episodic return=32.0
global step=7640, episodic return=101.0
global step=7648, episodic return=39.0
global step=7804, episodic return=41.0
global step=7896, episodic return=107.0
global step=7976, episodic return=82.0
global step=8036, episodic return=115.0
global step=8192, episodic return=74.0
global step=8236, episodic return=50.0
global step=8260, episodic return=114.0
global step=8292, episodic return=25.0
global step=8312, episodic return=84.0
global step=8356, episodic return=30.0
global step=8360, episodic return=25.0
global step=8444, episodic return=38.0
global step=8508, episodic return=38.0
global step=8540, episodic return=45.0
global step=8636, episodic return=48.0
global step=8664, episodic return=31.0
global step=8728, episodic return=104.0
global step=8888, episodic return=56.0
global step=9132, episodic return=61.0
global step=9188, episodic return=115.0
global step=9308, episodic return=44.0
global step=9468, episodic return=70.0
