global step=1560, episodic return=-389.0
global step=2000, episodic return=-500.0
global step=2000, episodic return=-500.0
global step=2000, episodic return=-500.0
global step=3560, episodic return=-500.0
global step=4000, episodic return=-500.0
global step=4000, episodic return=-500.0
global step=4000, episodic return=-500.0
global step=5560, episodic return=-500.0
global step=6000, episodic return=-500.0
global step=6000, episodic return=-500.0
global step=6000, episodic return=-500.0
global step=7560, episodic return=-500.0
global step=8000, episodic return=-500.0
global step=8000, episodic return=-500.0
global step=8000, episodic return=-500.0
global step=9560, episodic return=-500.0
global step=9948, episodic return=-486.0
global step=10000, episodic return=-500.0
global step=10000, episodic return=-500.0
global step=11560, episodic return=-500.0
global step=11948, episodic return=-500.0
global step=12000, episodic return=-500.0
global step=12000, episodic return=-500.0
global step=13560, episodic return=-500.0
global step=13948, episodic return=-500.0
global step=14000, episodic return=-500.0
global step=14000, episodic return=-500.0
global step=15560, episodic return=-500.0
global step=15948, episodic return=-500.0
global step=16000, episodic return=-500.0
global step=16000, episodic return=-500.0
global step=17560, episodic return=-500.0
global step=17948, episodic return=-500.0
global step=18000, episodic return=-500.0
global step=18000, episodic return=-500.0
global step=19560, episodic return=-500.0
global step=19948, episodic return=-500.0
global step=20000, episodic return=-500.0
global step=20000, episodic return=-500.0
global step=21560, episodic return=-500.0
global step=21948, episodic return=-500.0
global step=22000, episodic return=-500.0
global step=22000, episodic return=-500.0
global step=23560, episodic return=-500.0
global step=23948, episodic return=-500.0
global step=24000, episodic return=-500.0
global step=24000, episodic return=-500.0
global step=25560, episodic return=-500.0
global step=25948, episodic return=-500.0
global step=26000, episodic return=-500.0
global step=26000, episodic return=-500.0
global step=27560, episodic return=-500.0
global step=27948, episodic return=-500.0
global step=28000, episodic return=-500.0
global step=28000, episodic return=-500.0
global step=29560, episodic return=-500.0
global step=29948, episodic return=-500.0
global step=30000, episodic return=-500.0
global step=30000, episodic return=-500.0
global step=31560, episodic return=-500.0
global step=31948, episodic return=-500.0
global step=32000, episodic return=-500.0
global step=32000, episodic return=-500.0
global step=33560, episodic return=-500.0
global step=33948, episodic return=-500.0
global step=34000, episodic return=-500.0
global step=34000, episodic return=-500.0
global step=35560, episodic return=-500.0
global step=35948, episodic return=-500.0
global step=36000, episodic return=-500.0
global step=36000, episodic return=-500.0
global step=37560, episodic return=-500.0
global step=37948, episodic return=-500.0
global step=38000, episodic return=-500.0
global step=38000, episodic return=-500.0
global step=39560, episodic return=-500.0
global step=39948, episodic return=-500.0
global step=40000, episodic return=-500.0
global step=40000, episodic return=-500.0
global step=41560, episodic return=-500.0
global step=41948, episodic return=-500.0
global step=42000, episodic return=-500.0
global step=42000, episodic return=-500.0
global step=43560, episodic return=-500.0
global step=43948, episodic return=-500.0
global step=44000, episodic return=-500.0
global step=44000, episodic return=-500.0
global step=45560, episodic return=-500.0
global step=45948, episodic return=-500.0
global step=46000, episodic return=-500.0
global step=46000, episodic return=-500.0
global step=47560, episodic return=-500.0
global step=47948, episodic return=-500.0
global step=48000, episodic return=-500.0
global step=48000, episodic return=-500.0
global step=49560, episodic return=-500.0
global step=49948, episodic return=-500.0
global step=50000, episodic return=-500.0
global step=50000, episodic return=-500.0
global step=51560, episodic return=-500.0
global step=51948, episodic return=-500.0
global step=52000, episodic return=-500.0
global step=52000, episodic return=-500.0
global step=53560, episodic return=-500.0
global step=53948, episodic return=-500.0
global step=54000, episodic return=-500.0
global step=54000, episodic return=-500.0
global step=55560, episodic return=-500.0
global step=55948, episodic return=-500.0
global step=56000, episodic return=-500.0
global step=56000, episodic return=-500.0
global step=57560, episodic return=-500.0
global step=57948, episodic return=-500.0
global step=58000, episodic return=-500.0
global step=58000, episodic return=-500.0
global step=59560, episodic return=-500.0
global step=59948, episodic return=-500.0
global step=60000, episodic return=-500.0
global step=60000, episodic return=-500.0
global step=61560, episodic return=-500.0
global step=61948, episodic return=-500.0
global step=62000, episodic return=-500.0
global step=62000, episodic return=-500.0
global step=63560, episodic return=-500.0
global step=63948, episodic return=-500.0
global step=64000, episodic return=-500.0
global step=64000, episodic return=-500.0
global step=65560, episodic return=-500.0
global step=65948, episodic return=-500.0
global step=66000, episodic return=-500.0
global step=66000, episodic return=-500.0
global step=67560, episodic return=-500.0
global step=67948, episodic return=-500.0
global step=68000, episodic return=-500.0
