/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=float32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=float32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=float32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
global step=72, episodic return=3.0
global step=108, episodic return=2.0
global step=140, episodic return=2.0
global step=148, episodic return=2.0
global step=184, episodic return=4.0
global step=208, episodic return=2.0
global step=216, episodic return=2.0
global step=252, episodic return=1.0
global step=320, episodic return=2.0
global step=372, episodic return=6.0
global step=404, episodic return=4.0
global step=516, episodic return=2.0
global step=520, episodic return=5.0
global step=552, episodic return=7.0
global step=664, episodic return=1.0
global step=668, episodic return=4.0
global step=704, episodic return=4.0
global step=772, episodic return=1.0
global step=824, episodic return=8.0
global step=840, episodic return=2.0
global step=932, episodic return=6.0
global step=952, episodic return=3.0
global step=1008, episodic return=6.0
global step=1048, episodic return=2.0
global step=1060, episodic return=3.0
global step=1120, episodic return=2.0
global step=1128, episodic return=1.0
global step=1196, episodic return=4.0
global step=1232, episodic return=5.0
global step=1304, episodic return=3.0
global step=1384, episodic return=5.0
global step=1492, episodic return=4.0
global step=1532, episodic return=2.0
global step=1548, episodic return=9.0
global step=1600, episodic return=3.0
global step=1640, episodic return=3.0
global step=1696, episodic return=4.0
global step=1804, episodic return=3.0
global step=1824, episodic return=3.0
global step=1860, episodic return=13.0
global step=1936, episodic return=3.0
global step=1984, episodic return=13.0
global step=1992, episodic return=4.0
global step=2004, episodic return=2.0
global step=2092, episodic return=3.0
global step=2100, episodic return=3.0
global step=2160, episodic return=2.0
global step=2168, episodic return=2.0
global step=2228, episodic return=5.0
global step=2236, episodic return=2.0
global step=2272, episodic return=4.0
global step=2304, episodic return=2.0
global step=2360, episodic return=7.0
